,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
tyree-holder-1,2013,,1,,,,0,0,,7.0,6-1,1,0,,,Tyree Holder,,,2,,,,,tyree-holder-1,,,CB,,,,,,,,,,,,0.0,,2013,7,0.0,Ball State,8,,,170,,,,0,0.0,FR
tyree-holder-1,2014,,6,,,,0,0,,12.0,6-1,2,0,,,Tyree Holder,,,7,,,,,tyree-holder-1,,,CB,,,,,,,,,,,,0.0,,2014,33,2.0,Ball State,39,,,170,,,,37,18.5,SO
tyree-holder-1,2015,,5,,,,1,0,,9.0,6-1,2,0,,,Tyree Holder,,,2,,,,,tyree-holder-1,,,CB,,,,,,,,,,,,0.0,,2015,19,0.0,Ball State,24,,,170,,,,0,0.0,SR
tyree-holder-1,2016,,1,,,,0,0,,2.0,6-1,0,0,,,Tyree Holder,,,1,,,,,tyree-holder-1,,,CB,,,,,,,,,,,,0.0,,2016,2,0.0,Ball State,3,,,170,,,,0,,SR
tyree-holder-1,Career,,13,,,,1,0,,,6-1,5,0,,,Tyree Holder,,,12,,,,,tyree-holder-1,,,CB,,,,,,,,,,,,0.0,,Career,61,2.0,Ball State,74,,,170,,,,37,7.4,
daeshaun-hurley-1,2013,,48,,,,2,2,,12.0,6-0,0,0,,,Dae'Shaun Hurley,,,1,,,,,daeshaun-hurley-1,,,S,,,,,,,,,,,,0.0,,2013,35,1.5,Ball State,83,,,213,,,,0,,FR
daeshaun-hurley-1,2014,,1,,,,0,0,,1.0,6-0,0,0,,,Dae'Shaun Hurley,,,0,,,,,daeshaun-hurley-1,,,S,,,,,,,,,,,,0.0,,2014,0,0.0,Ball State,1,,,213,,,,0,,SO
daeshaun-hurley-1,Career,,49,,,,2,2,,,6-0,0,0,,,Dae'Shaun Hurley,,,1,,,,,daeshaun-hurley-1,,,S,,,,,,,,,,,,0.0,,Career,35,1.5,Ball State,84,,,213,,,,0,,
osazuwamen-igbinosun-1,2012,,0,,,,0,0,0.0,,6-2,,,,,Osazuwamen Igbinosun,,,0,,,,,osazuwamen-igbinosun-1,,,DL,,,,,,,,,,,,0.0,,2012,1,0.0,Ball State,1,,,245,,,0.0,,,FR
osazuwamen-igbinosun-1,2013,,1,,,,0,0,,1.0,6-2,0.0,0.0,,,Osazuwamen Igbinosun,,,0,,,,,osazuwamen-igbinosun-1,,,DE,,,,,,,,,,,,0.0,,2013,0,0.0,Ball State,1,,,245,,,,0.0,,SO
osazuwamen-igbinosun-1,2014,,13,,,,0,0,,6.0,6-2,0.0,0.0,,,Osazuwamen Igbinosun,,,0,,,,,osazuwamen-igbinosun-1,,,DE,,,,,,,,,,,,2.0,,2014,8,6.0,Ball State,21,,,245,,,,0.0,,JR
osazuwamen-igbinosun-1,2015,,8,,,,0,1,,8.0,6-2,0.0,0.0,,,Osazuwamen Igbinosun,,,0,,,,,osazuwamen-igbinosun-1,,,DE,,,,,,,,,,,,0.5,,2015,6,2.5,Ball State,14,,,245,,,,0.0,,SR
osazuwamen-igbinosun-1,Career,,22,,,,0,1,0.0,,6-2,0.0,0.0,,,Osazuwamen Igbinosun,,,0,,,,,osazuwamen-igbinosun-1,,,DE,,,,,,,,,,,,2.5,,Career,15,8.5,Ball State,37,,,245,,,0.0,0.0,,
brian-jones-5,2011,,17,,,,0.0,0.0,,12.0,5-10,0,0,,,Brian Jones,,,1.0,,,,,brian-jones-5,,,DB,,,,,,,,,,,,0.0,,2011,16,0.0,Ball State,33,,,195,,,,0,,SO
brian-jones-5,2012,,13,,,,,,,9.0,5-10,1,0,,,Brian Jones,,,,,,,,brian-jones-5,,,DB,,,,,,,,,,,,0.0,,2012,21,1.0,Ball State,34,,,195,,,,0,0.0,JR
brian-jones-5,2013,,41,,,,2.0,4.0,,13.0,5-10,0,0,,,Brian Jones,,,6.0,,,,,brian-jones-5,,,S,,,,,,,,,,,,1.5,,2013,56,5.5,Ball State,97,,,195,,,,0,,JR
brian-jones-5,2014,,17,,,,0.0,0.0,,10.0,5-10,0,0,,,Brian Jones,,,2.0,,,,,brian-jones-5,,,S,,,,,,,,,,,,0.0,,2014,34,2.0,Ball State,51,,,195,,,,0,,SR
brian-jones-5,Career,,88,,,,2.0,4.0,,,5-10,1,0,,,Brian Jones,,,9.0,,,,,brian-jones-5,,,S,,,,,,,,,,,,1.5,,Career,127,8.5,Ball State,215,,,195,,,,0,0.0,
nick-miles-1,2012,,27,,,,0,0,0.0,,6-2,,,,,Nick Miles,,,0,,,,,nick-miles-1,,,DL,,,,,,,,,,,,2.0,,2012,27,4.5,Ball State,54,,,265,,,0.0,,,SO
nick-miles-1,2013,,27,,,,0,1,,12.0,6-2,0.0,0.0,,,Nick Miles,,,1,,,,,nick-miles-1,,,DE,,,,,,,,,,,,5.0,,2013,15,9.5,Ball State,42,,,265,,,,0.0,,JR
nick-miles-1,2014,,27,,,,0,0,,11.0,6-2,0.0,0.0,,,Nick Miles,,,1,,,,,nick-miles-1,,,DE,,,,,,,,,,,,3.0,,2014,16,4.0,Ball State,43,,,265,,,,0.0,,SR
nick-miles-1,Career,,81,,,,0,1,0.0,,6-2,0.0,0.0,,,Nick Miles,,,2,,,,,nick-miles-1,,,DE,,,,,,,,,,,,10.0,,Career,58,18.0,Ball State,139,,,265,,,0.0,0.0,,
keenan-noel-1,2012,,4,,,,0,0,0.0,,6-1,,,,,Keenan Noel,,,0,,,,,keenan-noel-1,,,DL,,,,,,,,,,,,0.0,,2012,2,0.0,Ball State,6,,,270,,,0.0,,,SO
keenan-noel-1,2014,,20,,,,0,0,,11.0,6-1,0.0,0.0,,,Keenan Noel,,,3,,,,,keenan-noel-1,,,NT,,,,,,,,,,,,1.0,,2014,14,3.5,Ball State,34,,,270,,,,0.0,,SR
keenan-noel-1,2015,,7,,,,0,0,,9.0,6-1,0.0,0.0,,,Keenan Noel,,,4,,,,,keenan-noel-1,,,NT,,,,,,,,,,,,0.0,,2015,1,0.0,Ball State,8,,,270,,,,0.0,,SR
keenan-noel-1,Career,,31,,,,0,0,0.0,,6-1,0.0,0.0,,,Keenan Noel,,,7,,,,,keenan-noel-1,,,NT,,,,,,,,,,,,1.0,,Career,17,3.5,Ball State,48,,,270,,,0.0,0.0,,
eric-patterson-3,2012,,16,,,,,,,13.0,5-10,2,0,,,Eric Patterson,,,,,,,,eric-patterson-3,,,DB,,,,,,,,,,,,0.0,,2012,45,4.5,Ball State,61,,,193,,,,47,23.5,SO
eric-patterson-3,2013,,21,,,,1.0,0.0,,11.0,5-10,1,0,,,Eric Patterson,,,7.0,,,,,eric-patterson-3,,,CB,,,,,,,,,,,,0.0,,2013,42,2.0,Ball State,63,,,193,,,,0,0.0,JR
eric-patterson-3,2014,,12,,,,1.0,0.0,,9.0,5-10,3,0,,,Eric Patterson,,,5.0,,,,,eric-patterson-3,,,CB,,,,,,,,,,,,1.0,,2014,37,3.0,Ball State,49,,,193,,,,86,28.7,SR
eric-patterson-3,Career,,49,,,,2.0,0.0,,,5-10,6,0,,,Eric Patterson,,,12.0,,,,,eric-patterson-3,,,CB,,,,,,,,,,,,1.0,,Career,124,9.5,Ball State,173,,,193,,,,133,22.2,
scott-secor-1,2011,,1,,,,0,0,,12.0,5-8,,,,,Scott Secor,,,0,,,,,scott-secor-1,1,0,P,,,,,,,1,0,28,28.0,0,0.0,,2011,2,0.0,Ball State,3,0,,166,28,28.0,,,,SO
scott-secor-1,2012,,2,,0.0,0.0,0,0,0.0,,5-8,0.0,0.0,,0.0,Scott Secor,0.0,,0,,,,,scott-secor-1,0,0,P,0.0,,0.0,0.0,,0.0,0,0,0,,0,0.0,0.0,2012,3,0.0,Ball State,5,0,0.0,166,0,,0.0,0.0,,JR
scott-secor-1,2013,,0,,60.0,19.0,0,0,,13.0,5-8,0.0,0.0,,0.0,Scott Secor,,,0,,,,,scott-secor-1,0,117,K,0.0,,0.0,0.0,,0.0,0,0,0,,0,0.0,,2013,1,0.0,Ball State,1,0,,166,0,,,0.0,,JR
scott-secor-1,2014,,0,,34.0,25.0,0,0,,12.0,5-8,0.0,0.0,,0.0,Scott Secor,,,0,,,,,scott-secor-1,0,109,K,0.0,,0.0,0.0,,0.0,0,0,0,,0,0.0,,2014,0,0.0,Ball State,0,0,,166,0,,,0.0,,SR
scott-secor-1,Career,,3,,94.0,44.0,0,0,0.0,,5-8,0.0,0.0,,0.0,Scott Secor,0.0,,0,,,,,scott-secor-1,1,226,K,0.0,,0.0,0.0,,0.0,1,0,28,28.0,0,0.0,0.0,Career,6,0.0,Ball State,9,0,0.0,166,28,28.0,0.0,0.0,,
darnell-smith-3,2012,,1.0,,,,0.0,0.0,0.0,,5-11,,,,,Darnell Smith,,,0.0,,,,,darnell-smith-3,,,DL,,,,,,,,,,,,0.0,,2012,0.0,0.0,Ball State,1.0,,,275,,,0.0,,,FR
darnell-smith-3,2013,,10.0,,,,0.0,1.0,,8.0,5-11,0.0,0.0,,,Darnell Smith,,,0.0,,,,,darnell-smith-3,,,DT,,,,,,,,,,,,0.5,,2013,4.0,0.5,Ball State,14.0,,,275,,,,0.0,,SO
darnell-smith-3,2014,,23.0,,,,2.0,1.0,,12.0,5-11,0.0,0.0,,,Darnell Smith,,,0.0,,,,,darnell-smith-3,,,DT,,,,,,,,,,,,4.0,,2014,14.0,5.5,Ball State,37.0,,,275,,,,0.0,,JR
darnell-smith-3,2015,,,,,,,,,,5-11,,,,,Darnell Smith,,,,,,,,darnell-smith-3,,,DT,,,,,,,,,,,,,,2015,,,Ball State,,,,275,,,,,,SR
darnell-smith-3,Career,,34.0,,,,2.0,2.0,0.0,,5-11,0.0,0.0,,,Darnell Smith,,,0.0,,,,,darnell-smith-3,,,DT,,,,,,,,,,,,4.5,,Career,18.0,6.0,Ball State,52.0,,,275,,,0.0,0.0,,
aaron-taylor-3,2013,,19,,,,1,0,,10.0,5-11,0,0,,,Aaron Taylor,,,1,,,,,aaron-taylor-3,,,S,,,,,,,,,,,,0.0,,2013,13,0.0,Ball State,32,,,205,,,,0,,FR
aaron-taylor-3,2014,,27,,,,0,2,,11.0,5-11,0,0,,,Aaron Taylor,,,0,,,,,aaron-taylor-3,,,S,,,,,,,,,,,,2.0,,2014,33,4.5,Ball State,60,,,205,,,,0,,JR
aaron-taylor-3,2015,,13,,,,0,0,,10.0,5-11,0,0,,,Aaron Taylor,,,1,,,,,aaron-taylor-3,,,S,,,,,,,,,,,,0.0,,2015,12,2.0,Ball State,25,,,205,,,,0,,SR
aaron-taylor-3,2016,,36,,,,0,0,,12.0,5-11,0,0,,,Aaron Taylor,,,2,,,,,aaron-taylor-3,,,S,,,,,,,,,,,,1.5,,2016,49,11.5,Ball State,85,,,205,,,,0,,SR
aaron-taylor-3,Career,,95,,,,1,2,,,5-11,0,0,,,Aaron Taylor,,,4,,,,,aaron-taylor-3,,,S,,,,,,,,,,,,3.5,,Career,107,18.0,Ball State,202,,,205,,,,0,,
nick-traub-1,2014,,2,,,,0,0,,3.0,5-11,0,0,,,Nick Traub,,,0,,,,,nick-traub-1,,,LS,,,,,,,,,,,,0.0,,2014,2,0.0,Ball State,4,,,202,,,,0,,JR
nick-traub-1,2015,,1,,,,1,0,,2.0,5-11,0,0,,,Nick Traub,,,0,,,,,nick-traub-1,,,LS,,,,,,,,,,,,0.0,,2015,1,0.0,Ball State,2,,,202,,,,0,,SR
nick-traub-1,2016,,2,,,,0,0,,2.0,5-11,0,0,,,Nick Traub,,,0,,,,,nick-traub-1,,,LS,,,,,,,,,,,,0.0,,2016,1,0.0,Ball State,3,,,202,,,,0,,SR
nick-traub-1,Career,,5,,,,1,0,,,5-11,0,0,,,Nick Traub,,,0,,,,,nick-traub-1,,,LS,,,,,,,,,,,,0.0,,Career,4,0.0,Ball State,9,,,202,,,,0,,
bryce-petty-1,2011,10.8,,3,,,,,,6.0,6-3,,,0,,Bryce Petty,,4,,75.0,0,43,10.8,bryce-petty-1,4,0,QB,,165.3,,,,,4,0,15,3.8,0,,,2011,,,Baylor,,0,,230,15,3.8,,,,FR
bryce-petty-1,2012,11.7,,7,,,,,,6.0,6-3,,,0,,Bryce Petty,,10,,70.0,1,97,9.7,bryce-petty-1,10,6,QB,,184.5,,,,,10,1,13,1.3,1,,,2012,,,Baylor,,1,,230,13,1.3,,,,SO
bryce-petty-1,2013,11.7,,250,0.0,0.0,,,,13.0,6-3,,,3,0.0,Bryce Petty,,403,,62.0,32,4200,10.4,bryce-petty-1,94,84,QB,0.0,174.3,0.0,0.0,,0.0,94,14,209,2.2,14,,,2013,,,Baylor,,14,,230,209,2.2,,,,JR
bryce-petty-1,2014,9.6,,270,0.0,0.0,,,,12.0,6-3,,,7,0.0,Bryce Petty,,428,,63.1,29,3855,9.0,bryce-petty-1,84,36,QB,0.0,157.8,0.0,0.0,,0.0,84,6,101,1.2,6,,,2014,,,Baylor,,6,,230,101,1.2,,,,SR
bryce-petty-1,Career,10.6,,530,0.0,0.0,,,,,6-3,,,10,0.0,Bryce Petty,,845,,62.7,62,8195,9.7,bryce-petty-1,192,126,QB,0.0,166.0,0.0,0.0,,0.0,192,21,338,1.8,21,,,Career,,,Baylor,,21,,230,338,1.8,,,,
seth-russell-1,2013,8.2,0,26,0,0,0,0,,7.0,6-3,0,0,3,0,Seth Russell,,43,0,60.5,3,427,9.9,seth-russell-1,24,18,QB,0,152.9,0,0,,0,24,3,147,6.1,3,0.0,,2013,0,0.0,Baylor,0,3,,220,147,6.1,,0,,FR
seth-russell-1,2014,10.8,0,48,0,0,0,0,,8.0,6-3,0,0,1,0,Seth Russell,,85,0,56.5,8,804,9.5,seth-russell-1,32,18,QB,0,164.6,0,0,,0,32,3,185,5.8,3,0.0,,2014,0,0.0,Baylor,0,3,,220,185,5.8,,0,,SO
seth-russell-1,2015,12.1,0,119,0,0,0,0,,7.0,6-3,0,0,6,0,Seth Russell,,200,0,59.5,29,2104,10.5,seth-russell-1,49,36,QB,0,189.7,0,0,,0,49,6,402,8.2,6,0.0,,2015,0,0.0,Baylor,0,6,,220,402,8.2,,0,,JR
seth-russell-1,2016,7.8,0,152,0,0,0,0,,9.0,6-3,0,0,8,0,Seth Russell,,278,0,54.7,20,2126,7.6,seth-russell-1,94,48,QB,0,136.9,0,0,,0,94,8,506,5.4,8,0.0,,2016,1,0.0,Baylor,1,8,,220,506,5.4,,0,,SR
seth-russell-1,Career,9.7,0,345,0,0,0,0,,,6-3,0,0,18,0,Seth Russell,,606,0,56.9,60,5461,9.0,seth-russell-1,199,120,QB,0,159.4,0,0,,0,199,20,1240,6.2,20,0.0,,Career,1,0.0,Baylor,1,20,,220,1240,6.2,,0,,
chris-johnson-13,2014,11.3,,4,0,0,,,,3.0,6-5,,,0,0,Chris Johnson,,4,,100.0,0,45,11.3,chris-johnson-13,4,0,QB,0,194.5,0,0,,0,4,0,29,7.3,0,,,2014,,,Baylor,,0,,235,29,7.3,,,,FR
chris-johnson-13,2015,4.5,,22,0,0,,,,7.0,6-5,,,3,0,Chris Johnson,,50,,44.0,3,302,6.0,chris-johnson-13,37,6,QB,0,102.5,0,37,12.3,3,34,1,116,3.4,1,,,2015,,,Baylor,,1,,235,153,4.1,,,,SO
chris-johnson-13,2016,,,0,0,0,,,,1.0,6-5,,,0,0,Chris Johnson,,0,,,0,0,,chris-johnson-13,1,0,TE,0,,0,9,9.0,1,0,0,0,,0,,,2016,,,Houston,,0,,235,9,9.0,,,,JR
chris-johnson-13,Career,5.0,,26,0,0,,,,,6-5,,,3,0,Chris Johnson,,54,,48.1,3,347,6.4,chris-johnson-13,42,6,TE,0,109.3,0,46,11.5,4,38,1,145,3.8,1,,,Career,,,Overall,,1,,235,191,4.5,,,,
shock-linwood-1,2013,,0,,0,0,0,0,,12.0,5-9,0,0,,0,Shock Linwood,,,0,,,,,shock-linwood-1,132,48,RB,0,,0,19,4.8,4,128,8,881,6.9,8,0.0,,2013,1,0.0,Baylor,1,8,,200,900,6.8,,0,,FR
shock-linwood-1,2014,,0,,0,0,0,0,,13.0,5-9,0,0,,0,Shock Linwood,,,0,,,,,shock-linwood-1,258,96,RB,0,,0,90,12.9,7,251,16,1252,5.0,16,0.0,,2014,0,0.0,Baylor,0,16,,200,1342,5.2,,0,,SO
shock-linwood-1,2015,,0,,0,0,0,0,,12.0,5-9,0,0,,0,Shock Linwood,,,0,,,,,shock-linwood-1,205,66,RB,0,,1,71,7.9,9,196,10,1329,6.8,11,0.0,,2015,1,0.0,Baylor,1,11,,200,1400,6.8,,0,,JR
shock-linwood-1,2016,,1,,0,0,0,0,,11.0,5-9,0,0,,0,Shock Linwood,,,0,,,,,shock-linwood-1,140,12,RB,0,,0,6,3.0,2,138,2,751,5.4,2,0.0,,2016,0,0.0,Baylor,1,2,,200,757,5.4,,0,,SR
shock-linwood-1,Career,,1,,0,0,0,0,,,5-9,0,0,,0,Shock Linwood,,,0,,,,,shock-linwood-1,735,222,RB,0,,1,186,8.5,22,713,36,4213,5.9,37,0.0,,Career,2,0.0,Baylor,3,37,,200,4399,6.0,,0,,
johnny-jefferson-1,2014,,0,0,0,0,0,0,,11.0,5-10,0,0,0,0,Johnny Jefferson,,0,0,,0,0,,johnny-jefferson-1,101,36,RB,0,,0,16,16.0,1,100,6,524,5.2,6,0.0,,2014,0,0.0,Baylor,0,6,,205,540,5.3,,0,,FR
johnny-jefferson-1,2015,6.0,0,1,0,0,0,0,,11.0,5-10,0,0,0,0,Johnny Jefferson,,4,0,25.0,0,24,6.0,johnny-jefferson-1,140,48,RB,0,75.4,0,17,4.3,4,136,8,1000,7.4,8,0.0,,2015,1,0.0,Baylor,1,8,,205,1017,7.3,,0,,SO
johnny-jefferson-1,Career,6.0,0,1,0,0,0,0,,,5-10,0,0,0,0,Johnny Jefferson,,4,0,25.0,0,24,6.0,johnny-jefferson-1,241,84,RB,0,75.4,0,33,6.6,5,236,14,1524,6.5,14,0.0,,Career,1,0.0,Baylor,1,14,,205,1557,6.5,,0,,
devin-chafin-1,2013,,0,0,0,0,1,0,,9.0,6-0,0,0,0,0,Devin Chafin,,0,0,,0,0,,devin-chafin-1,51,24,RB,0,,0,0,,0,51,4,295,5.8,4,0.0,,2013,3,0.0,Baylor,3,4,,225,295,5.8,,0,,FR
devin-chafin-1,2014,,1,0,0,0,0,0,,9.0,6-0,0,0,0,0,Devin Chafin,,0,0,,0,0,,devin-chafin-1,83,48,RB,0,,0,34,11.3,3,80,8,383,4.8,8,0.0,,2014,0,0.0,Baylor,1,8,,225,417,5.0,,0,,SO
devin-chafin-1,2015,1.5,0,1,0,0,0,0,,10.0,6-0,0,0,0,0,Devin Chafin,,2,0,50.0,0,3,1.5,devin-chafin-1,123,60,RB,0,62.6,1,9,4.5,2,121,9,578,4.8,10,0.0,,2015,0,0.0,Baylor,0,10,,225,587,4.8,,0,,JR
devin-chafin-1,Career,1.5,1,1,0,0,1,0,,,6-0,0,0,0,0,Devin Chafin,,2,0,50.0,0,3,1.5,devin-chafin-1,257,132,RB,0,62.6,1,43,8.6,5,252,21,1256,5.0,22,0.0,,Career,3,0.0,Baylor,4,22,,225,1299,5.1,,0,,
silas-nacita-1,2014,,3,,0,0,1,1,,10.0,5-11,0,0,,0,Silas Nacita,,,0,,,,,silas-nacita-1,31,18,RB,0,,0,0,,0,31,3,191,6.2,3,0.0,,2014,6,0.0,Baylor,9,3,,185,191,6.2,,0,,JR
silas-nacita-1,Career,,3,,0,0,1,1,,,5-11,0,0,,0,Silas Nacita,,,0,,,,,silas-nacita-1,31,18,RB,0,,0,0,,0,31,3,191,6.2,3,0.0,,Career,6,0.0,Baylor,9,3,,185,191,6.2,,0,,
anthony-webb-2,2013,,2,,,,1,0,,6.0,6-0,0,0,,,Anthony Webb,,,0,,,,,anthony-webb-2,27,,S,,,0,0,,0,27,0,150,5.6,0,0.0,,2013,4,0.0,Baylor,6,,,190,150,5.6,,0,,SO
anthony-webb-2,2014,,0,,,,0,0,,2.0,6-0,0,0,,,Anthony Webb,,,0,,,,,anthony-webb-2,2,,RB,,,0,0,,0,2,0,2,1.0,0,0.0,,2014,1,0.0,Baylor,1,,,190,2,1.0,,0,,JR
anthony-webb-2,Career,,2,,,,1,0,,,6-0,0,0,,,Anthony Webb,,,0,,,,,anthony-webb-2,29,,RB,,,0,0,,0,29,0,152,5.2,0,0.0,,Career,5,0.0,Baylor,7,,,190,152,5.2,,0,,
jay-lee-1,2013,,0,0,0,0,0,0,,8.0,6-3,0,0,0,0,Jay Lee,,0,0,,0,0,,jay-lee-1,22,6,WR,0,,1,309,14.0,22,0,0,0,,1,0.0,,2013,1,0.0,Baylor,1,1,,220,309,14.0,,0,,SO
jay-lee-1,2014,73.0,0,1,0,0,0,0,,10.0,6-3,0,0,0,0,Jay Lee,,1,0,100.0,1,53,53.0,jay-lee-1,41,36,WR,0,875.2,6,633,15.4,41,0,0,0,,6,0.0,,2014,0,0.0,Baylor,0,6,,220,633,15.4,,0,,JR
jay-lee-1,2015,,0,0,0,0,0,0,,13.0,6-3,0,0,0,0,Jay Lee,,0,0,,0,0,,jay-lee-1,39,48,WR,0,,8,758,19.9,38,1,0,-1,-1.0,8,0.0,,2015,2,0.0,Baylor,2,8,,220,757,19.4,,0,,SR
jay-lee-1,Career,73.0,0,1,0,0,0,0,,,6-3,0,0,0,0,Jay Lee,,1,0,100.0,1,53,53.0,jay-lee-1,102,90,WR,0,875.2,15,1700,16.8,101,1,0,-1,-1.0,15,0.0,,Career,3,0.0,Baylor,3,15,,220,1699,16.7,,0,,
corey-coleman-1,2013,,0,,0,0,0,0,,12.0,5-11,0,0,,1,Corey Coleman,,,0,,,,,corey-coleman-1,35,18,WR,0,,2,527,15.1,35,0,0,0,,2,0.0,,2013,1,0.0,Baylor,1,3,,190,527,15.1,,0,,FR
corey-coleman-1,2014,,0,,0,0,0,0,,10.0,5-11,0,0,,0,Corey Coleman,,,0,,,,,corey-coleman-1,75,72,WR,0,,11,1119,17.5,64,11,1,53,4.8,12,0.0,,2014,0,0.0,Baylor,0,12,,190,1172,15.6,,0,,SO
corey-coleman-1,2015,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Corey Coleman,,,0,,,,,corey-coleman-1,96,120,WR,0,,20,1363,18.4,74,22,0,111,5.0,20,0.0,,2015,0,0.0,Baylor,0,20,,190,1474,15.4,,0,,JR
corey-coleman-1,Career,,0,,0,0,0,0,,,5-11,0,0,,1,Corey Coleman,,,0,,,,,corey-coleman-1,206,210,WR,0,,33,3009,17.4,173,33,1,164,5.0,34,0.0,,Career,1,0.0,Baylor,1,35,,190,3173,15.4,,0,,
antwan-goodley-1,2011,,0,,,,0.0,0.0,,11.0,5-11,,,,0,Antwan Goodley,,,0.0,,,,,antwan-goodley-1,2,0,WR,,,0,26,13.0,2,,,,,0,0.0,,2011,0,0.0,Baylor,0,0,,225,26,13.0,,,,FR
antwan-goodley-1,2012,,0,,,,,,,13.0,5-11,,,,0,Antwan Goodley,,,,,,,,antwan-goodley-1,21,12,WR,,,2,171,10.1,17,4.0,0.0,26.0,6.5,2,0.0,,2012,1,0.0,Baylor,1,2,,225,197,9.4,,,,SO
antwan-goodley-1,2013,,0,,0.0,0.0,0.0,0.0,,13.0,5-11,0.0,0.0,,0,Antwan Goodley,,,0.0,,,,,antwan-goodley-1,77,78,WR,0.0,,13,1339,18.9,71,6.0,0.0,33.0,5.5,13,0.0,,2013,0,0.0,Baylor,0,13,,225,1372,17.8,,0.0,,JR
antwan-goodley-1,2014,,0,,0.0,0.0,0.0,0.0,,10.0,5-11,0.0,0.0,,0,Antwan Goodley,,,0.0,,,,,antwan-goodley-1,68,36,WR,0.0,,6,830,13.8,60,8.0,0.0,71.0,8.9,6,0.0,,2014,0,0.0,Baylor,0,6,,225,901,13.3,,0.0,,SR
antwan-goodley-1,Career,,0,,0.0,0.0,0.0,0.0,,,5-11,0.0,0.0,,0,Antwan Goodley,,,0.0,,,,,antwan-goodley-1,168,126,WR,0.0,,21,2366,15.8,150,18.0,0.0,130.0,7.2,21,0.0,,Career,1,0.0,Baylor,1,21,,225,2496,14.9,,0.0,,
kd-cannon-1,2014,,0,,0,0,0,0,,13.0,6-0,0,0,,0,K.D. Cannon,,,0,,,,,kd-cannon-1,60,48,WR,0,,8,1030,17.8,58,2,0,12,6.0,8,0.0,,2014,1,0.0,Baylor,1,8,,180,1042,17.4,,0,,FR
kd-cannon-1,2015,,0,,0,0,0,0,,13.0,6-0,0,0,,0,K.D. Cannon,,,0,,,,,kd-cannon-1,51,36,WR,0,,6,868,17.4,50,1,0,2,2.0,6,0.0,,2015,2,0.0,Baylor,2,6,,180,870,17.1,,0,,SO
kd-cannon-1,2016,,0,,0,0,0,0,,12.0,6-0,0,0,,0,K.D. Cannon,,,0,,,,,kd-cannon-1,87,78,WR,0,,13,1215,14.0,87,0,0,0,,13,0.0,,2016,1,0.0,Baylor,1,13,,180,1215,14.0,,0,,JR
kd-cannon-1,Career,,0,,0,0,0,0,,,6-0,0,0,,0,K.D. Cannon,,,0,,,,,kd-cannon-1,198,162,WR,0,,27,3113,16.0,195,3,0,14,4.7,27,0.0,,Career,4,0.0,Baylor,4,27,,180,3127,15.8,,0,,
levi-norwood-1,2011,,0,,,,0.0,0.0,,13.0,6-2,,,,0,Levi Norwood,,,0.0,,,,,levi-norwood-1,6,0,WR,0,,0,87,14.5,6,,,,,0,0.0,,2011,0,0.0,Baylor,0,0,,200,87,14.5,,,,FR
levi-norwood-1,2012,21.0,0,1.0,,,,,,13.0,6-2,,,0.0,0,Levi Norwood,,1.0,,100.0,0.0,21.0,21.0,levi-norwood-1,43,12,WR,0,276.4,1,487,12.2,40,3.0,1.0,20.0,6.7,2,0.0,,2012,5,0.0,Baylor,5,2,,200,507,11.8,,,,SO
levi-norwood-1,2013,41.0,0,1.0,0.0,0.0,0.0,0.0,,13.0,6-2,0.0,0.0,0.0,0,Levi Norwood,,1.0,0.0,100.0,0.0,41.0,41.0,levi-norwood-1,47,60,WR,2,444.4,8,733,15.6,47,0.0,0.0,0.0,,8,0.0,,2013,2,0.0,Baylor,2,10,,200,733,15.6,,0.0,,JR
levi-norwood-1,2014,,1,0.0,0.0,0.0,0.0,0.0,,10.0,6-2,0.0,0.0,0.0,0,Levi Norwood,,0.0,0.0,,0.0,0.0,,levi-norwood-1,36,12,WR,0,,2,319,9.1,35,1.0,0.0,4.0,4.0,2,0.0,,2014,3,0.0,Baylor,4,2,,200,323,9.0,,0.0,,SR
levi-norwood-1,Career,31.0,1,2.0,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,0.0,0,Levi Norwood,,2.0,0.0,100.0,0.0,62.0,31.0,levi-norwood-1,132,84,WR,2,360.4,11,1626,12.7,128,4.0,1.0,24.0,6.0,12,0.0,,Career,10,0.0,Baylor,11,14,,200,1650,12.5,,0.0,,
